audio_file|text|speaker_name
short\short_001_Ez_Felhív_a.wav|Ez Felhív a|vago
short\short_002_pedig_a_bohém_életet.wav|pedig a bohém életet.|vago
short\short_003_Franciska.wav|Franciska.|vago
short\short_004_Mert_olyan_boldogan_jelölte_volna_meg_egyedül_a_Falstaffot.wav|Mert olyan boldogan jelölte volna meg egyedül a Falstaffot.|vago
short\short_005_Na_nézzük_melyik_a_víg.wav|Na, nézzük, melyik a víg.|vago
short\short_006_Hát_érdemelt_volt.wav|Hát érdemelt volt.|vago
short\short_007_Ez_itt_Magyarország_legizgalmasabb_kvízjátéka.wav|Ez itt Magyarország legizgalmasabb kvízjátéka.|vago
short\short_008_A_Legyen_ön_is_milliomos.wav|A Legyen ön is milliomos!|vago
short\short_009_Jó_estét_kívánok.wav|Jó estét kívánok!|vago
short\short_010_Hűha.wav|Hűha!|vago
short\short_011_Jó_estét.wav|Jó estét!|vago
short\short_012_közönség_ujjongva_tapsol_Nagyon-nagyon_sok_szeretettel.wav|[közönség ujjongva tapsol] Nagyon-nagyon sok szeretettel.|vago
short\short_013_Ne_hozza_lang_zavarba.wav|Ne hozza lang zavarba!|vago
short\short_014_Játszunk_inkább_játszunk_inkább.wav|Játszunk inkább, játszunk inkább!|vago
short\short_015_De_kedvesek_milyen_szép.wav|De kedvesek, milyen szép!|vago
short\short_016_Sokan_jöttek_el.wav|Sokan jöttek el!|vago
short\short_017_Sokféleképpen_tartunk_kapcsolatot_aztán_húszmilliót_is_nyern.wav|Sokféleképpen tartunk kapcsolatot, aztán húszmilliót is nyernek itt nálunk.|vago
short\short_018_S_ne_zárjuk_ki_hogy_nemsokára_megint_lesz_valaki_aki_sok-sok.wav|S ne zárjuk ki, hogy nemsokára megint lesz valaki, aki sok-sok pénzt viszel tőlünk.|vago
short\short_019_Szóval_a_kapcsolatokról_nem_tudom_hogy_hallottak-e_már_róla.wav|Szóval a kapcsolatokról nem tudom, hogy hallottak-e már róla?|vago
short\short_020_A_teletext_az_RTL_Teletext_642.wav|A teletext az RTL Teletext 642.|vago
short\short_021_oldalán_is_veszünk_fel_már_kérdéseket.wav|oldalán is veszünk fel már kérdéseket.|vago
short\short_022_Aztán_itt_van_az_internet_ez_egyre_bővül_ott_is.wav|Aztán itt van az internet, ez egyre bővül ott is.|vago
short\short_023_A_legkönnyebb_kérdéseket_itt_tesszük_fel_ott_viszont_hamar_i.wav|A legkönnyebb kérdéseket itt tesszük fel, ott viszont hamar is kell válaszolni.|vago
short\short_024_No_akkor_ismerkedjünk_meg_a_mai_műsor_játékos_jelöltjeivel.wav|No, akkor ismerkedjünk meg a mai műsor játékos jelöltjeivel.|vago
short\short_025_Léber_László_-_Szentendre.wav|Léber László - Szentendre.|vago
short\short_026_Zagyva_Joli_bér_-_Mezőkövesd.wav|Zagyva Joli bér - Mezőkövesd.|vago
short\short_027_Óvári_Gáborné_-_Budapest.wav|Óvári Gáborné - Budapest.|vago
short\short_028_Pardi_László_-_Miskolc.wav|Pardi László - Miskolc.|vago
short\short_029_Perkáné_Pellérti_Zsuzsanna_-_Kaposvár.wav|Perkáné Pellérti Zsuzsanna - Kaposvár.|vago
short\short_030_Nagy_Sándor_-_Debrecen.wav|Nagy Sándor - Debrecen.|vago
short\short_031_Szutor_Katalin_-_Budapest.wav|Szutor Katalin - Budapest.|vago
short\short_032_Dr.wav|Dr.|vago
short\short_033_Kálca_László_-_Pusztavacs.wav|Kálca László - Pusztavacs.|vago
short\short_034_Báncsaba_-_Budapest.wav|Báncsaba - Budapest.|vago
short\short_035_És_Nik_Judit_-_Solymar.wav|És Nik Judit - Solymar.|vago
short\short_036_A_Népszabadság_archívumából_itt_az_első_sor_kérdés.wav|A Népszabadság archívumából itt az első sor kérdés.|vago
short\short_037_A_Titanic.wav|A) Titanic.|vago
short\short_038_B_Kontiki.wav|B) Kontiki.|vago
short\short_039_C_Santa_Maria.wav|C) Santa Maria.|vago
short\short_040_Na_kérem_és_akkor_lássuk_hogy_időrendben_hogyan_követik_egym.wav|Na kérem, és akkor lássuk, hogy időrendben hogyan követik egymást ezek a híres hajók.|vago
short\short_041_Ez_a_B.wav|Ez a B.|vago
short\short_042_Heyerdahl_hajója_tehát_C_D_A_B.wav|Heyerdahl hajója, tehát C, D, A, B.|vago
short\short_043_Ez_a_helyes_sorrend.wav|Ez a helyes sorrend.|vago
short\short_044_Hány_zöldet_látunk.wav|Hány zöldet látunk?|vago
short\short_045_Mindössze_hármat.wav|Mindössze hármat!|vago
short\short_046_És_Nagy_Sándornak_sikerült_előbb_föl.wav|És Nagy Sándornak sikerült előbb föl.|vago
short\short_047_Gratulálok_Sándor_jöjjön.wav|Gratulálok Sándor, jöjjön!|vago
short\short_048_Gratulálok.wav|Gratulálok!|vago
short\short_049_Nagy_Sándornak_aki_Debrecenből_érkezett_el_hozzánk.wav|Nagy Sándornak, aki Debrecenből érkezett el hozzánk.|vago
short\short_050_Nagyon_szép_volt_a_megfejtése.wav|Nagyon szép volt a megfejtése.|vago
short\short_051_Tehát_egy_földrajz-történelem_szakos_tanár.wav|Tehát egy földrajz-történelem szakos tanár?|vago
short\short_052_Jól_mondom.wav|Jól mondom?|vago
short\short_053_Ez_talán_elvárható.wav|Ez talán elvárható.|vago
short\short_054_Képzeljék_el_Nagy_Sándor_GYES-en_van.wav|Képzeljék el, Nagy Sándor GYES-en van.|vago
short\short_055_Hogy_alakult_ez_így.wav|Hogy alakult ez így?|vago
short\short_056_Merthogy_ritka_hát_nyilvánvalóan_erre_van_mód.wav|Merthogy ritka, hát nyilvánvalóan erre van mód.|vago
short\short_057_Én_se_akarok_kimaradni.wav|Én se akarok kimaradni.|vago
short\short_058_Na_ez_milyen.wav|Na ez milyen?|vago
short\short_059_És_süt_főz_is_otthon.wav|És süt, főz is otthon?|vago
short\short_060_És_a_kisgyermek_most_nincs_itt.wav|És a kisgyermek most nincs itt?|vago
short\short_061_Azt_látom_ki_van_kivel_jöttél.wav|Azt látom, ki van, kivel jöttél?|vago
short\short_062_Hogy_hasonlít_egymásra_a_két_hölgy.wav|Hogy hasonlít egymásra a két hölgy?|vago
short\short_063_Kedves_Sándor_Mutatok_először_is_egy_pénz_és_számvitelinek_s.wav|Kedves Sándor, Mutatok először is egy pénz és számvitelinek számokat.|vago
short\short_064_Jó.wav|Jó?|vago
short\short_065_Tizenöt_kérdés_az_első_ötezret_ér_a_tizenötödik_negyven_mill.wav|Tizenöt kérdés az első ötezret ér, a tizenötödik negyven milliót.|vago
short\short_066_Közben_két_garantált_lépés_a_százezres_illetve_a_másfél_mill.wav|Közben két garantált lépés a százezres, illetve a másfél milliós.|vago
short\short_067_Három_segítség_a_számítógép_a_telefon_illetve_a_közönség.wav|Három segítség a számítógép, a telefon, illetve a közönség.|vago
short\short_068_A_közönség_ma_nagyon_kedves_úgyhogy_használja_ki_ezt_a_lehet.wav|A közönség ma nagyon kedves, úgyhogy használja ki ezt a lehetőséget!|vago
short\short_069_Ha_nyer_akkor_a_Raiffeisen_bankkártyáján_kapja_meg_a_nyeremé.wav|Ha nyer, akkor a Raiffeisen bankkártyáján kapja meg a nyereményt.|vago
short\short_070_Kedves_Sándor_legyen_Ön_is_milliomos.wav|Kedves Sándor, legyen Ön is milliomos!|vago
short\short_071_És_akkor_kezdjük_bemelegítő_kérdésekkel.wav|És akkor kezdjük bemelegítő kérdésekkel.|vago
short\short_072_Az_első_máris_ötezer_forintot_ér.wav|Az első máris ötezer forintot ér.|vago
short\short_073_Melyik_egy_nemzetközi_hírnevű_magyar_étel_neve.wav|Melyik egy nemzetközi hírnevű magyar étel neve?|vago
short\short_074_Tessék.wav|Tessék?|vago
short\short_075_A_kondás_a_kanász_a_gulyás_vagy_a_juhász.wav|A kondás, a kanász, a gulyás vagy a juhász?|vago
short\short_076_Juhászba_még_nem_harapott_bele_de_kanalazgatott_már_gulyásho.wav|Juhászba még nem harapott bele, de kanalazgatott már gulyáshoz.|vago
short\short_077_Megjelöljük_a_Cét_és_már_meg_is_van_az_első_kérdés.wav|Megjelöljük a Cét és már meg is van az első kérdés.|vago
short\short_078_Itt_a_második_tízezerért.wav|Itt a második tízezerért.|vago
short\short_079_Milyen_pitypangnak_hívják_a_gyermekláncüvet.wav|Milyen pitypangnak hívják a gyermekláncüvet?|vago
short\short_080_Kifejezetten_azt_hiszem_gyeses_kérdés.wav|Kifejezetten azt hiszem, gyeses kérdés.|vago
short\short_081_Hát_azt_itt_fogják_tudni_nagyon_sokan.wav|Hát azt itt fogják tudni nagyon sokan.|vago
short\short_082_Igen.wav|Igen?|vago
short\short_083_Kérjük_fel_a_kedves_közönséget_hogy_máris_segítsen.wav|Kérjük fel a kedves közönséget, hogy máris segítsen.|vago
short\short_084_Kedves_közönség.wav|Kedves közönség!|vago
short\short_085_Nyomják_meg_a_gombokat.wav|Nyomják meg a gombokat!|vago
short\short_086_Most.wav|Most!|vago
short\short_087_Nyert_a_pongyola.wav|Nyert a pongyola.|vago
short\short_088_Lehet_hogy_azért_mert_én_azt_mondtam_hogy_gyeses_kérdés.wav|Lehet, hogy azért, mert én azt mondtam, hogy gyeses kérdés.|vago
